User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
Hello,Hi there,2024-12-05 19:44:34
What's the weather like ,You can check the weather on a weather app or website.,2024-12-05 19:47:11
can you share me business guide,I can answer questions and provide assistance,2024-12-05 19:50:54
